,Sim,kcc2_S_change,kcc2_D_change,trpc3_change,tonic_CL_S_change,tonic_CL_D_change,stn_change,noise_change,KS_FR_pval,KS_FR_statistic,KS_CV_pval,KS_CV_statistic,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
0,1,0.33,0.33,0.33,0.33,0.33,1.0,1.0,0.1798069599972038,0.12068314063326532,0.19309989426467622,0.11886949293433084,0.07595071027762215,0.1829916371479036,0.24156779767752337,0.3821758734476938,0.3118718355626086,1.0,20.2020202020202,0.7535707270079636,-0.142432636319261,-0.04473390512069586,12.285517299353868,0.26657346040507035
1,2,0.33,0.33,0.33,0.33,0.33,1.0,1.5,0.33102882572038866,0.10385652031537318,0.165288263830939,0.12284944205143707,0.2465386401928596,0.1849341791381911,0.28564951258218085,0.2864051991234036,0.28602735585279226,1.0,21.36868686868687,0.8245165149242902,-0.09290812106669828,0.045200726549581974,12.27249241160319,0.28191421493171337
2,3,0.33,0.33,0.33,0.33,0.33,1.0,2.0,0.46751721688320236,0.09284868636489584,0.00021799954443337287,0.23635356054308673,0.6514060659236105,2.810388539267058e-06,0.30262727020831753,0.4437391370059699,0.37318320360714374,1.0,22.7020202020202,0.9220622651491187,-0.03630867506376956,0.16885487678352434,12.60429604329677,0.3269939743022114
3,4,0.33,0.33,0.33,0.33,0.33,1.25,1.0,0.5024951867992368,0.0906661916636979,0.11475249846512013,0.1322459158226882,0.5166205617034811,0.03347106507053943,0.2147691994503537,0.341645885286783,0.2782075423685684,1.0,22.316326530612244,0.7325716560106575,-0.052681211160164054,-0.07135343773887012,13.2854047112746,0.259856628378171
4,5,0.33,0.33,0.33,0.33,0.33,1.25,1.5,0.08457238465963275,0.1386181012116174,0.1532973939247194,0.12473865840449382,0.999243384001139,0.4552250154151335,0.30585153278420113,0.23577420086148265,0.2708128668228419,1.0,23.555555555555557,0.8087267644977589,-7.645394825820997e-05,0.025184804103974577,12.97976064138009,0.2713267082157697
5,6,0.33,0.33,0.33,0.33,0.33,1.25,2.0,0.04532826107887776,0.1518426156830147,0.0028606338582712445,0.20018136476989346,0.5313996702173189,0.0007051250953870952,0.3834353510163985,0.36152044132094,0.3724778961686692,1.0,24.747474747474747,0.8816513152533645,0.050520020508905326,0.11762782016661782,13.088929267922396,0.2954242761024945
6,7,0.33,0.33,0.33,0.33,0.33,1.5,1.0,0.17385611817155613,0.12153958537998438,0.03303864342268668,0.15816519307791127,0.6199827963141712,0.0003823098348128624,0.2989495957077004,0.2576891105569409,0.27831935313232065,1.0,24.51010101010101,0.6969552172105766,0.040443603985656655,-0.11650271860484712,14.203069059075496,0.23469893411132423
7,8,0.33,0.33,0.33,0.33,0.33,1.5,1.5,0.021637587618108696,0.1661754704148719,0.42840863120144324,0.09579586387566437,0.28716476876808683,0.481899017269942,0.42383939142043886,0.3315448751857729,0.3776921333031059,1.0,25.59090909090909,0.7704095103607417,0.08632345794257613,-0.023388173075351973,13.564169161144354,0.25657696111277983
8,9,0.33,0.33,0.33,0.33,0.33,1.5,2.0,0.0017982505300980017,0.20718406005189047,0.008545376494811402,0.1825990579107786,0.1051605215717547,0.015559806550807392,0.4844454520264994,0.3225270157938487,0.403486233910174,1.0,26.651515151515152,0.8542675597163726,0.13134574453581502,0.08291472386733,13.42684152963353,0.2851805707586865
9,10,0.33,0.33,0.33,0.33,0.66,1.0,1.0,0.24102991256533898,0.11294994836141968,0.05141749394128609,0.1492984709942316,0.09621055586481887,0.03692641623780495,0.24156779767752332,0.29114083478173247,0.2663543162296279,1.0,20.414141414141415,0.7336853499228506,-0.13342817900061316,-0.06994166045471842,12.236524314245992,0.2628759340405219
10,11,0.33,0.33,0.33,0.33,0.66,1.0,1.5,0.3907594451476791,0.0987430413864329,0.06992673812285892,0.14279956673971636,0.3460456424542736,0.2916110959407447,0.32605355298622135,0.39739036247764425,0.36172195773193283,1.0,21.77777777777778,0.8172633360177164,-0.07554238195216328,0.03600621349165833,12.288662390372545,0.28364809091187076
11,12,0.33,0.33,0.33,0.33,0.66,1.0,2.0,0.30636936528232833,0.10617395904178946,0.00017100996111116796,0.2394518753620998,0.7845718164130849,0.0003584146018700061,0.3430313106123581,0.5153278420111338,0.42917957631174597,1.0,23.04040404040404,0.8881749981293657,-0.021944421722117073,0.1258975854876941,12.487099761065895,0.31045098931385295
12,13,0.33,0.33,0.33,0.33,0.66,1.25,1.0,0.3925049532892685,0.09901267240063108,0.00469075346320818,0.19324138633009313,0.6255022341928091,0.005241499256951815,0.27451778716474123,0.49493612906509227,0.38472695811491675,1.0,22.622448979591837,0.7148243901961113,-0.03968644039418545,-0.09385081018426686,13.41128469863365,0.26001284643269873
13,14,0.33,0.33,0.33,0.33,0.66,1.25,1.5,0.05546855386473147,0.14771152925766393,0.3562826901246682,0.10166502934582736,0.8949338201653712,0.7005376660578786,0.38343535101639836,0.21557218065946243,0.29950376583793037,1.0,23.80808080808081,0.7786516747373847,0.010643138097751031,-0.012939969747854736,12.933143366050013,0.26903627277291264
14,15,0.33,0.33,0.33,0.33,0.66,1.25,2.0,0.031894114459030856,0.15882012141363763,0.005347723924817677,0.19033225018262426,0.41291280652286844,0.005226388784542993,0.32282929041033775,0.362931056197889,0.34288017330411336,1.0,25.116161616161616,0.8641279211740835,0.0661706248960788,0.0954142393689538,13.20503199978305,0.2808946707476475
