,Sim,kcc2_S_change,kcc2_D_change,trpc3_change,tonic_CL_S_change,tonic_CL_D_change,stn_change,noise_change,KS_FR_pval,KS_FR_statistic,KS_CV_pval,KS_CV_statistic,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
0,1,0.33,0.33,0.33,0.33,0.33,1.0,1.0,0.1614508664217127,0.1239248816733676,0.05009164007474609,0.150440225965698,0.03884818798964992,0.009736733340313008,0.3670924728993842,0.3031197516413049,0.33510611227034454,1.0,19.642857142857142,0.7206681564187666,-0.16616887584971002,-0.08644294316020121,11.946735528834576,0.25493982921873815
1,2,0.33,0.33,0.33,0.33,0.33,1.0,1.5,0.2497103491234237,0.11196755585783018,0.48349261356507406,0.0916899670016877,0.09774432250147697,0.8782481141877232,0.4587521096249276,0.24247462152699054,0.35061336557595907,1.0,20.444444444444443,0.7929262605457083,-0.13214182795509216,0.005155249920879353,11.634563816336586,0.26931376865487766
2,3,0.33,0.33,0.33,0.33,0.33,1.0,2.0,0.12186168383133236,0.12930174563591024,0.014785393075327101,0.17286783042394016,0.31743125276135586,0.054246560430162974,0.42783042394014964,0.36603491271820443,0.39693266832917706,1.0,21.685,0.8416012188396913,-0.07948076006986717,0.06685820050193982,11.830607549910528,0.30311300605401675
3,4,0.33,0.33,0.33,0.33,0.33,1.25,1.0,0.586016348836624,0.08453613441144613,0.07752713970765569,0.14055769666742235,0.4176299987078904,0.0017743106150402937,0.2971359480087659,0.3253482455477467,0.3112420967782563,1.0,22.015151515151516,0.7067111585165586,-0.06546596542891461,-0.10413557160825387,13.140740594079222,0.25348835651904056
4,5,0.33,0.33,0.33,0.33,0.33,1.25,1.5,0.14653445984118443,0.12579661956220559,0.16612564277336123,0.12272349429456661,0.7121030675785458,0.12651321469160795,0.3797576765157813,0.23456510239552633,0.3071613894556538,1.0,22.858585858585858,0.7480171865001805,-0.029662527995243795,-0.05177386668434076,12.631138452501606,0.2752099531543697
5,6,0.33,0.33,0.33,0.33,0.33,1.25,2.0,0.0330773487675681,0.15808962442378902,0.22261371544073558,0.11514143933096552,0.9602423413258598,0.9562686515060406,0.4201617169198217,0.21663014181717416,0.3183959293684979,1.0,23.651515151515152,0.7903135665447015,0.0039969910292252655,0.0018432608719338515,12.357358774678918,0.2681169786267688
6,7,0.33,0.33,0.33,0.33,0.33,1.5,1.0,0.1889027082420493,0.11942366306456081,0.0029265820089671647,0.1998287110506562,0.6907742691750234,1.685002086643346e-06,0.3343157258369229,0.31829517116300154,0.32630544849996224,1.0,24.32323232323232,0.6630747889886217,0.03251110587160974,-0.15945134067902095,14.417531613799737,0.24581551124553863
7,8,0.33,0.33,0.33,0.33,0.33,1.5,1.5,0.03106453675478151,0.15932391244111943,0.09587367059549651,0.13582206100909341,0.4121890951427448,0.004418953747591972,0.33935363611174085,0.3455502657497669,0.34245195093075387,1.0,25.126262626262626,0.7144622673641569,0.06659940857791918,-0.09430985623150553,13.734374672630683,0.24833635429143996
8,9,0.33,0.33,0.33,0.33,0.33,1.5,2.0,0.0046573434200842655,0.192498551600796,0.40763881218928094,0.09743318471498022,0.23517493248265164,0.09911302832566095,0.4403637371218419,0.28015819038262924,0.3602609637522356,1.0,25.818181818181817,0.7457681357381029,0.09597109078398443,-0.05462488233778252,13.200178783885395,0.251012386617021
9,10,0.33,0.33,0.33,0.33,0.66,1.0,1.0,0.19705473722152395,0.11878467097562218,0.09912116429356709,0.13563031197516412,0.0698094676671973,0.021633822636364007,0.34846557076696016,0.307191205659321,0.3278283882131406,1.0,20.117346938775512,0.727596090213839,-0.14602698116244317,-0.07766072800134297,12.152055553928149,0.26757362924978967
10,11,0.33,0.33,0.33,0.33,0.66,1.0,1.5,0.15484828890357097,0.12443638378800474,0.20165655327454737,0.11776115267387088,0.1466682333928772,0.8499812007368661,0.4555278470490441,0.2637346028867225,0.3596312249678833,1.0,20.828282828282827,0.78384607474141,-0.11584804804515811,-0.006355273674550629,11.698692324436365,0.26768747440100343
11,12,0.33,0.33,0.33,0.33,0.66,1.0,2.0,0.02930067861882781,0.15930174563591024,0.022347038248015462,0.16538653366583542,0.43582694559187674,0.23736508426267938,0.4678304239401496,0.41600997506234394,0.4419201995012468,1.0,22.1,0.8208108529905986,-0.061864182501455464,0.04050323356389299,11.686316785026838,0.291157455468306
12,13,0.33,0.33,0.33,0.33,0.66,1.25,1.0,0.5493349678987325,0.08702989999748105,0.04097626212157867,0.15390815889569007,0.516841849905527,0.002096910855252234,0.25854555530366,0.4667623869618881,0.3626539711327741,1.0,22.32323232323232,0.707230953628134,-0.05238806313278342,-0.10347665184322598,13.221369512055427,0.2638862727337054
13,14,0.33,0.33,0.33,0.33,0.66,1.25,1.5,0.14653445984118443,0.12579661956220559,0.16030326239540088,0.12360512859265976,0.8828187892771996,0.08506209001861807,0.3797576765157813,0.3153731832036071,0.3475654298596942,1.0,23.27777777777778,0.7430948131998616,-0.011868005198868405,-0.05801372732596048,12.831113980119548,0.26889745049247255
14,15,0.33,0.33,0.33,0.33,0.66,1.25,2.0,0.014941042696613598,0.17164588528678304,0.2627879455066975,0.11044887780548629,0.6214816746513933,0.4983141739353951,0.42319201995012473,0.3316708229426434,0.3774314214463841,1.0,24.49,0.7707979689716353,0.03959032445879424,-0.022895742402355975,12.85048248121447,0.277793716943879
15,16,0.33,0.33,0.33,0.33,0.66,1.5,1.0,0.1285420302952154,0.12954857753575247,3.7054097131654114e-05,0.2592752811847931,0.504793879452158,7.707134515089125e-10,0.3058679831034658,0.4277571377678252,0.3668125604356455,1.0,24.846938775510203,0.6275763390113988,0.05474222717192526,-0.2044510526750679,14.39270793316229,0.23070960457435152
16,17,0.33,0.33,0.33,0.33,0.66,1.5,1.5,0.03661154538170959,0.1560996498652359,0.014675140822788497,0.1732285447996171,0.3237677895939377,0.0001559556763570996,0.3797576765157813,0.3859543061538073,0.3828559913347943,1.0,25.444444444444443,0.6899248686775038,0.08010609455589075,-0.1254147601002673,13.676435697148095,0.24609726624860734
17,18,0.33,0.33,0.33,0.33,0.66,1.5,2.0,0.008301629349977711,0.18302728028413814,0.2966067985236564,0.10713116199400488,0.18099156435861422,0.049965586061860516,0.42383939142043886,0.17698178795435654,0.3004105896873977,1.0,26.106060606060606,0.7370403853172599,0.108191425716435,-0.06568864020786727,13.22728140511361,0.26284439766917467
18,19,0.33,0.33,0.33,0.33,1.0,1.0,1.0,0.15927845496779275,0.12423024072471882,0.044349344947533224,0.1529339915517329,0.06488881803149463,0.0014899296275422116,0.4079087994299964,0.2010789353147743,0.3044938673723854,1.0,20.056122448979593,0.7038136206248745,-0.1486259353156389,-0.10780864383273354,12.106011884188296,0.26888386769564293
19,20,0.33,0.33,0.33,0.33,1.0,1.0,1.5,0.1260801125985564,0.12942391496007455,0.1208282599979826,0.13048187611778633,0.16597705037907914,0.6348351717149114,0.49593188745308436,0.31839592936849787,0.4071639084107911,1.0,20.954545454545453,0.776316212069539,-0.11048825202215348,-0.01590052570165012,11.623315759189927,0.2637986627883719
20,21,0.33,0.33,0.33,0.33,1.0,1.0,2.0,0.04867971992327275,0.14930174563591023,0.4954002468774196,0.09064837905236908,0.47834154462434075,0.522208933572103,0.44319201995012475,0.20064837905236904,0.3219201995012469,1.0,22.23,0.8058809096958545,-0.056345736516169954,0.021577248096587273,11.822313648351578,0.2749445613100863
21,22,0.33,0.33,0.33,0.33,1.0,1.25,1.0,0.3864417382529284,0.0994961575652705,0.007112891817132943,0.18644714743752863,0.5791441795536478,2.565284803495831e-06,0.30586798310346586,0.32571632144129464,0.3157921522723802,1.0,22.494897959183675,0.6645715147805087,-0.045100928213343154,-0.1575540119332536,13.411367189348999,0.24845283581966393
