,Seed,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
0,1,0.022253022639428927,3.725967814646116e-05,0.013804374800445305,0.041981635483138206,0.3105874652266405,0.3245786287023401,0.3175830469644903,0.97,18.716494845360824,0.20909563917967786,-0.18015701355276764,0.16438562021129435,12.941961485622427,0.16266688846651853
1,2,0.010993611049586453,0.003530699168356758,0.02440684973403586,0.17514974515973267,0.3126293995859213,0.2936507936507936,0.30314009661835745,0.93,18.956521739130434,0.19897283327726367,-0.16964305957572234,0.1080150059067438,13.502143987142464,0.15399334860790373
2,3,0.011271728208236213,0.008788813384649182,0.0063821407072996465,0.006431315815636416,0.3997113997113998,0.27092352092352096,0.33531746031746035,0.91,18.130681818181817,0.2222987128964438,-0.20581751813283194,0.2379092443227536,12.49533874867804,0.17950754725773346
3,4,0.00016937264797204908,8.980522492463818e-09,0.0042209654890658956,5.842713119554973e-11,0.5101317122593718,0.7191827085444106,0.6146572104018913,0.94,18.0,0.2843951574578623,-0.2115418042760299,0.5837041513673328,12.771519178533914,0.1828379685531253
4,5,0.006167091734766238,0.0009137112554996763,0.007174253851807608,0.020999132942622116,0.41028295376121465,0.38060731538992404,0.39544513457556935,0.94,18.25,0.21349068378840935,-0.20059099600208585,0.18886019444283342,12.849780069171883,0.1620133752826791
5,6,0.000843930357565244,0.019664468020491464,0.0052027241630866914,0.014557019094443405,0.3899240855762594,0.27191166321601107,0.33091787439613524,0.94,18.054347826086957,0.21433009016263363,-0.2091611937816942,0.19353457558007256,13.011378072951299,0.15109426325570335
6,7,0.001235565978096811,9.851543570255658e-08,0.0013818312069777375,3.09710719646898e-08,0.40868838763575616,0.6410192147034252,0.5248538011695907,0.95,17.50526315789474,0.26153559423115746,-0.23321287749183484,0.45640667730278045,12.144848320181756,0.16109276863290115
7,8,0.1071575230932419,8.749362403019899e-05,0.05591864063817477,0.008282294617237918,0.2888198757763975,0.4675638371290546,0.378191856452726,0.94,19.597826086956523,0.21616341964095503,-0.14155185574256146,0.20374379127697453,12.573315240765549,0.1421238168684191
8,9,0.16513642615521737,2.2930032366403352e-07,0.09585012419743999,0.6846736202678725,0.3797313797313798,0.19474969474969475,0.2872405372405373,0.93,20.032967032967033,0.18572072728419128,-0.12249127545494658,0.0342183369930044,11.978415156365797,0.1720861323824936
9,10,0.005839614936843702,0.0014134852536185985,0.005238753676043036,0.023496905594744117,0.36047107014848945,0.45494111623143885,0.40770609318996415,0.95,18.134408602150536,0.21128779559458682,-0.2056542729459525,0.17659302643357597,12.344765070678687,0.14699306892739586
10,11,0.003539143279551962,4.5371641066401796e-05,0.010969945698840548,0.00017143604886005363,0.47293233082706765,0.4094402673350041,0.4411862990810359,0.97,18.58421052631579,0.23373304902408312,-0.1859514944148133,0.3015833439640422,12.442425857477977,0.15627448668172753
11,12,0.009277486494548744,4.736460570995193e-05,0.056737432258444215,0.24529531737579477,0.3389656938044034,0.2081413210445468,0.2735535074244751,0.94,19.553763440860216,0.1971280304589598,-0.14348194210033471,0.09774189891041639,13.72883754948571,0.1729944558385661
12,13,0.01665025686744799,0.0018265040843608827,0.003953084614015694,0.07519045959246176,0.2594893029675638,0.3588681849551415,0.30917874396135264,0.94,18.02173913043478,0.204269767494513,-0.21058956007829568,0.13751191008880737,11.611209221442916,0.14357018655901316
13,14,0.006221484734833328,1.895181832562312e-06,0.01108596673145237,0.61045411743855,0.3552213868003341,0.19891395154553054,0.27706766917293235,0.98,18.563157894736843,0.1727687732246957,-0.1868736677431454,-0.03790688340699954,12.795196900083694,0.13479210343299056
14,15,0.037740215657938725,0.0005975278348601938,0.013596709999814683,0.02248992232397246,0.27579365079365076,0.41865079365079366,0.3472222222222222,0.96,18.770833333333332,0.21011248052763046,-0.17777681209803584,0.17004807901836141,11.86796209572459,0.13510619960658685
15,16,0.004071412328004188,0.004663140474460209,0.007577152709256866,0.27802044474009646,0.2899689085256095,0.22148584519718542,0.25572737686139746,0.98,18.376288659793815,0.19440179930456825,-0.19505914439978422,0.08256040413606683,12.812894384744364,0.1439284496919183
16,17,0.0001090291255322738,2.1009637679387093e-07,0.0002983957500330341,6.786105560404744e-07,0.4200244200244201,0.5024420024420023,0.4612332112332112,0.93,16.642857142857142,0.2540586067277818,-0.27098904919172606,0.4147697652868922,12.608057277798638,0.163037840689834
17,18,0.00863062961566353,1.5208390961220636e-05,0.020182449619177378,0.00011462882426779573,0.4069571090847686,0.5064167510976021,0.45668693009118533,0.96,18.882978723404257,0.23545863837771464,-0.1728644814361424,0.31119258994182014,13.236680485534999,0.1568828922587515
18,19,0.00038829601452293315,0.000638730866995363,0.010039853528748954,0.00033541442158201894,0.3819764464925755,0.3259088581669227,0.3539426523297491,0.94,18.381720430107528,0.24163386954384536,-0.19482121529860993,0.3455804442248284,13.872963930714874,0.21554157845804314
