,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,gTON_STN_MEAN_nS_pF,gTON_STN_SIGMA,gTON_STN_THETA,gTON_CL_S_MEAN_nS_pF,gTON_CL_S_SIGMA,gTON_CL_S_THETA,gTON_CL_D_MEAN_nS_pF,gTON_CL_D_SIGMA,gTON_CL_D_THETA,gKCC2_S_nS_pF,gKCC2_D_nS_pF,gTRPC3_nS_pF,gHCN_nS_pF,gCA_nS_pF,gL_nS_pF,gSK_nS_pF,gNAP_nS_pF,gNAF_nS_pF,gKDR_nS_pF,gSD_nS,soma_noise_intensity,soma_noise_intensity_theta,dend_noise_intensity,dend_noise_intensity_theta,Eleak_mV,CL_in_S,CL_in_D,Iapp,Iapp_dend,gpe_stim,gpe_stim_freqs,gpe_poisson,W_gpe,gpe_start_time,gpe_base_length,gpe_stim_length,gpe_post_length,str_stim,str_stim_freqs,str_poisson,W_str,str_start_time,str_base_length,str_stim_length,str_post_length,tausyn,tauexc,tausyn_dend,pre_exp_fr,pre_exp_cv,pre_exp_fr_zscore,pre_exp_cv_zscore,connections,total_weight,sim,rel_error
0,0.0,0.0,0.0,0.0,214.0,88464.0,64.0,0.053955208457935,0.01,0.001,0.003419,0.01,0.001,0.003419,0.004,0.0004,0.004405,0.004405,0.092801,0.0,0.752844,0.047607,0.012124,0.143029,36.3532,51.4186,26.5,0.02164,0.1,0.00864,0.04,-56.3391,6.835982503569494,6.835982503569494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.14384e-319,5.0,0.1980513761816469,-0.4387789792136601,0.6224500282030175,2.0,0.573553,885.0,0.0033797592753633
1,1.0,1.0,1.0,1.0,108.0,40340.0,40.0,0.0544683542321357,0.01,0.001,0.005109,0.01,0.001,0.005109,0.004,0.0004,0.003412,0.003412,0.097175,0.0,0.670463,0.05095,0.009722,0.164694,36.7917,51.0825,26.5,0.42492,0.1,0.16996,0.04,-58.5843,8.519766242075782,8.519766242075782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.47676e-314,4.0,0.1255235477773912,-0.9693743240202708,-0.4991599899044349,3.0,0.678953,404.0,0.0031166807798857
2,2.0,2.0,2.0,2.0,23.0,66110.0,10.0,0.028864094978373,0.01,0.001,0.0199342,0.01,0.001,0.0199342,0.004,0.0004,0.002938,0.002938,0.100318,0.0,1.19935,0.015899,0.010233,0.210238,29.0481,18.641,26.5,0.5426,0.1,0.21704,0.04,-56.5581,12.533704836894502,12.533704836894502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1e-323,3.5,0.0872836680596964,-0.5687580516638726,-0.2804324911293014,3.0,0.71033,662.0,0.0382155270387607
3,3.0,3.0,3.0,3.0,121.0,65356.0,56.0,0.0267466888840024,0.01,0.001,0.0040534,0.01,0.001,0.0040534,0.004,0.0004,0.004259,0.004259,0.111747,0.0,0.756412,0.058242,0.01307,0.270877,9.96719,61.3923,26.5,0.43704,0.1,0.1747999999999999,0.04,-57.0407,7.3130830680263905,7.3130830680263905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.48277e-314,4.5,0.1593299063170794,-0.4695223115846195,0.2390209922799568,1.0,0.293047,654.0,0.0452890652481088
4,4.0,4.0,4.0,4.0,134.0,83141.0,41.0,0.0414973421324298,0.01,0.001,0.0076076,0.01,0.001,0.0076076,0.004,0.0004,0.003548,0.003548,0.106711,0.0,0.613854,0.048737,0.006151,0.126082,32.6539,48.2419,26.5,0.52364,0.1,0.20944,0.04,-59.5337,9.558596208165842,9.558596208165842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.43493e-314,1.5,0.3396957864020186,-1.2288385601237133,1.1028568221413688,6.0,1.429099,832.0,0.0350690184902967
5,5.0,5.0,5.0,5.0,224.0,124005.0,5.0,0.0235787876921404,0.01,0.001,0.002561,0.01,0.001,0.002561,0.004,0.0004,0.000322,0.000322,0.113634,0.0,0.546054,0.049139,0.009404,0.197402,39.4139,30.6725,26.5,0.05792,0.1,0.02316,0.04,-57.8008,12.841526615520497,12.841526615520497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,4.0,0.391251457272221,-0.5207775555713372,1.3999410852843266,3.0,1.5485,1241.0,0.0353312884318853
6,6.0,6.0,6.0,6.0,172.0,124120.0,20.0,0.0057827321197961,0.01,0.001,0.0150462,0.01,0.001,0.0150462,0.004,0.0004,0.003793,0.003793,0.110732,0.0,0.764274,0.054807,0.008124,0.1595,43.4084,63.5912,26.5,0.3539599999999999,0.1,0.1416,0.04,-58.9219,11.284466692731488,11.284466692731488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.47844e-314,4.0,0.1989401832901281,-0.4660118681991761,0.21086965607091,1.0,0.238459,1242.0,0.0065670445809396
7,7.0,7.0,7.0,7.0,234.0,133404.0,4.0,0.0221590836704171,0.01,0.001,0.0047528,0.01,0.001,0.0047528,0.004,0.0004,0.007051,0.007051,0.073117,0.0,0.431631,0.05657,0.009046,0.201649,52.7922,43.0445,26.5,0.02368,0.1,0.0094799999999999,0.04,-57.4641,6.53456177100308,6.53456177100308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,5.0,0.2721036955415562,-0.3899621993739819,0.826815183283352,2.0,0.7956460000000001,1335.0,0.0008177599215028
8,8.0,8.0,8.0,8.0,120.0,103267.0,67.0,0.0396298235567516,0.01,0.001,0.0106964,0.01,0.001,0.0106964,0.004,0.0004,0.001135,0.001135,0.09207,0.0,0.810504,0.043855,0.008438,0.192658,34.6124,54.8244,26.5,0.03884,0.1,0.01556,0.04,-58.3522,13.138210786705487,13.138210786705487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.26895e-314,3.0,0.2462019474422914,-1.2643904176053913,0.5350486046522148,2.0,0.864421,1033.0,0.0570580155796216
9,9.0,9.0,9.0,9.0,189.0,58548.0,48.0,0.0057995508562833,0.01,0.001,0.0083278,0.01,0.001,0.0083278,0.004,0.0004,0.00581,0.00581,0.122837,0.0,0.792789,0.043561,0.006943,0.193692,42.626,38.7329,26.5,0.48932,0.1,0.19572,0.04,-57.2622,8.39661755821619,8.39661755821619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.16585e-54,9.5,0.3273937893938073,0.1668730430078696,1.1054494725058597,3.0,0.5384329999999999,586.0,0.0244343795076215
10,10.0,10.0,10.0,10.0,167.0,42252.0,52.0,0.0140416749904916,0.01,0.001,0.0024336,0.01,0.001,0.0024336,0.004,0.0004,0.007674,0.007674,0.112891,0.0,0.732641,0.044424,0.00803,0.146116,44.1692,53.0108,26.5,0.03972,0.1,0.01588,0.04,-57.7285,5.325399983735043,5.325399983735043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.41321e-314,8.5,0.494507504299548,-0.1418973249540882,1.3162429017963329,2.0,0.240822,423.0,0.0083864631114698
11,11.0,11.0,11.0,11.0,102.0,1853.0,53.0,0.0079880132359149,0.01,0.001,0.0051064,0.01,0.001,0.0051064,0.004,0.0004,0.002108,0.002108,0.086169,0.0,0.798471,0.036765,0.008085,0.171093,33.7487,47.2315,26.5,0.0440799999999999,0.1,0.01764,0.04,-57.287,9.913905508649469,9.913905508649469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.26863e-314,8.5,0.1154294022543187,0.0809781793206134,-0.3109615887683641,2.0,0.227193,19.0,0.0083678699331265
12,12.0,12.0,12.0,12.0,176.0,108040.0,40.0,0.0441260698169671,0.01,0.001,0.0157534,0.01,0.001,0.0157534,0.004,0.0004,0.00376,0.00376,0.104543,0.0,0.755549,0.039465,0.008574,0.162913,31.783,49.2205,26.5,0.0316,0.1,0.0126399999999999,0.04,-57.9872,11.425391486686085,11.425391486686085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.44623e-314,6.5,0.3800633578955626,-0.6332117167401804,1.1360372301741355,2.0,0.8522890000000001,1081.0,0.0106280634382625
13,13.0,13.0,13.0,13.0,241.0,88926.0,26.0,0.011858150262118,0.01,0.001,0.0060138,0.01,0.001,0.0060138,0.004,0.0004,0.001461,0.001461,0.063839,0.0,0.470485,0.027191,0.009969,0.186572,47.0454,20.4499,26.5,0.38128,0.1,0.15252,0.04,-58.4085,11.380064501519884,11.380064501519884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.11e-321,5.5,0.4658087204834373,-0.4470508676769117,1.5797431871171563,2.0,0.538683,890.0,0.0012526008217884
14,14.0,14.0,14.0,14.0,97.0,102394.0,94.0,0.0347711557598941,0.01,0.001,0.0074672,0.01,0.001,0.0074672,0.004,0.0004,0.005383,0.005383,0.112145,0.0,0.707563,0.03049,0.010409,0.17571,36.0426,54.3682,26.5,0.37656,0.1,0.15064,0.04,-60.7226,8.305059919803234,8.305059919803234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.47327e-314,8.0,0.2531674228492009,-0.218622931393375,0.5495789551185586,1.0,0.375307,1024.0,0.0039239489357266
15,15.0,15.0,15.0,15.0,193.0,19149.0,49.0,0.0339726719899593,0.01,0.001,0.0184002,0.01,0.001,0.0184002,0.004,0.0004,0.003449,0.003449,0.128077,0.0,0.846194,0.031748,0.01435,0.236351,32.1249,56.4262,26.5,0.5491999999999999,0.1,0.21968,0.04,-57.784,12.01268456663894,12.01268456663894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.41663e-314,9.0,0.3542399154597326,-0.0632888037083952,0.933455787648628,3.0,0.359607,192.0,0.0143051857809303
16,16.0,16.0,16.0,16.0,89.0,74804.0,4.0,0.0466273290591154,0.01,0.001,0.0082394,0.01,0.001,0.0082394,0.004,0.0004,0.00674,0.00674,0.096489,0.0,0.655395,0.04531,0.009221,0.16168,41.1366,52.1033,26.5,0.0416,0.1,0.01664,0.04,-55.8911,7.958580946679181,7.958580946679181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,7.0,0.3495862436722388,-0.0164055077626972,1.627848448769258,3.0,0.952438,749.0,0.0177092187246343
17,17.0,17.0,17.0,17.0,156.0,71137.0,37.0,0.0380352992886281,0.01,0.001,0.0222638,0.01,0.001,0.0222638,0.004,0.0004,0.001556,0.001556,0.097204,0.0,0.747414,0.03819,0.009838,0.194663,36.0366,51.5338,26.5,0.40028,0.1,0.1601199999999999,0.04,-55.9385,13.735354406182182,13.735354406182182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.44739e-314,9.5,0.2824409159624964,0.188819648256702,0.3690583864324014,3.0,0.886979,712.0,0.0082042934133776
18,18.0,18.0,18.0,18.0,50.0,49470.0,70.0,0.0344286308488175,0.01,0.001,0.014716,0.01,0.001,0.014716,0.004,0.0004,0.00071,0.00071,0.097353,0.0,0.800857,0.02436,0.00954,0.110521,39.2931,38.8521,26.5,0.03684,0.1,0.01472,0.04,-54.1004,14.12644863465568,14.12644863465568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.43945e-314,11.5,0.2307279149835355,0.4042280483453833,0.3482490937500056,1.0,0.202567,495.0,0.0110902251156885
19,19.0,19.0,19.0,19.0,76.0,34591.0,91.0,0.0425598993795565,0.01,0.001,0.0034008,0.01,0.001,0.0034008,0.004,0.0004,0.002118,0.002118,0.102552,0.0,0.814171,0.035675,0.008939,0.16557,34.0964,43.6397,26.5,0.40784,0.1,0.16312,0.04,-56.09,8.718695968294057,8.718695968294057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.24726e-314,15.0,0.1958913195968947,1.104092728703738,-0.2986610040864502,2.0,0.38007,346.0,0.039987468953693
20,20.0,20.0,20.0,20.0,216.0,12499.0,99.0,0.0121132418992493,0.01,0.001,0.0060762,0.01,0.001,0.0060762,0.004,0.0004,0.002127,0.002127,0.090098,0.0,0.738179,0.040877,0.00875,0.174312,43.957,30.5623,26.5,0.02836,0.1,0.01136,0.04,-56.1126,10.387737946330443,10.387737946330443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.12725e-314,11.5,0.1682809982308427,0.3461069019321245,0.0153514841665969,1.0,0.115171,125.0,0.0807423050556524
21,21.0,21.0,21.0,21.0,198.0,79301.0,1.0,0.0268014578365421,0.01,0.001,0.0075322,0.01,0.001,0.0075322,0.004,0.0004,0.00523,0.00523,0.103873,0.0,1.03845,0.048199,0.006811,0.22498,26.4192,53.4346,26.5,0.39304,0.1,0.1572,0.04,-56.588,8.409974054975653,8.409974054975653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,14.0,0.4190266740930285,0.5455811758118222,1.2683512682241371,1.0,0.226099,794.0,0.0031636813669761
