,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,gTON_STN_MEAN_nS_pF,gTON_STN_SIGMA,gTON_STN_THETA,gTON_CL_S_MEAN_nS_pF,gTON_CL_S_SIGMA,gTON_CL_S_THETA,gTON_CL_D_MEAN_nS_pF,gTON_CL_D_SIGMA,gTON_CL_D_THETA,gKCC2_S_nS_pF,gKCC2_D_nS_pF,gTRPC3_nS_pF,gHCN_nS_pF,gCA_nS_pF,gL_nS_pF,gSK_nS_pF,gNAP_nS_pF,gNAF_nS_pF,gKDR_nS_pF,gSD_nS,soma_noise_intensity,soma_noise_intensity_theta,dend_noise_intensity,dend_noise_intensity_theta,Eleak_mV,CL_in_S,CL_in_D,Iapp,Iapp_dend,gpe_stim,gpe_stim_freqs,gpe_poisson,W_gpe,gpe_start_time,gpe_base_length,gpe_stim_length,gpe_post_length,str_stim,str_stim_freqs,str_poisson,W_str,str_start_time,str_base_length,str_stim_length,str_post_length,tausyn,tauexc,tausyn_dend,pre_exp_fr,pre_exp_cv,pre_exp_fr_zscore,pre_exp_cv_zscore,connections,total_weight,sim,rel_error
36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,81.0,1184.0,84.0,0.0216862012034663,0.005,0.001,0.0025558,0.005,0.001,0.0025558,0.002,0.0004,0.001674,0.001674,0.106811,0.0,0.687243,0.038769,0.009482,0.169872,33.2987,49.8976,26.5,0.8067199999999999,0.1,0.32272,0.04,-55.2155,8.57491524183676,8.57491524183676,0.0,0.0,1.0,20.0,0.0,0.08491998090267953,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.305953693502106,5.0,0.0,16.5,0.0982037041004295,1.294415931678317,-0.5877727899375956,1.0,0.103169,12.0,0.1832396903052286
37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,123.0,9658.0,58.0,0.0219490743423995,0.005,0.001,0.019253,0.005,0.001,0.019253,0.002,0.0004,0.001279,0.001279,0.116151,0.0,0.749028,0.020997,0.008858,0.191377,25.8911,44.1843,26.5,0.0659199999999999,0.1,0.0263199999999999,0.04,-59.893,13.796019052608992,13.796019052608992,0.0,0.0,1.0,20.0,0.0,0.02743271498256989,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.874217805340219,5.0,0.0,17.5,0.2198588038141154,1.1507983509986923,0.1245045393917624,3.0,0.236863,97.0,0.0175716251216128
38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,190.0,44100.0,0.0,0.0083964186063321,0.005,0.001,0.0147238,0.005,0.001,0.0147238,0.002,0.0004,0.006973,0.006973,0.129261,0.0,0.566293,0.051587,0.007175,0.221182,34.3363,58.2285,26.5,0.95104,0.1,0.3803999999999999,0.04,-56.8218,9.513788809917084,9.513788809917084,0.0,0.0,1.0,20.0,0.0,0.06281679657098069,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.917956436457504,5.0,0.0,18.0,0.1390749749688081,1.38398715790221,-0.4544725203008993,1.0,0.210109,442.0,0.098451872204086
39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,171.0,20647.0,47.0,0.0281728271737753,0.005,0.001,0.0037206,0.005,0.001,0.0037206,0.002,0.0004,0.001247,0.001247,0.10492,0.0,0.719629,0.027924,0.007195,0.230775,32.3816,56.2013,26.5,0.08528,0.1,0.03408,0.04,-59.8866,10.510642903144396,10.510642903144396,0.0,0.0,1.0,20.0,0.0,0.05784828533916751,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.741028702460982,5.0,0.0,19.0,0.1919142684581168,1.1211841945089875,0.19105343997319,2.0,0.18756,207.0,0.1174900469677548
40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,24.0,131429.0,29.0,0.0363200852334518,0.005,0.001,0.0162682,0.005,0.001,0.0162682,0.002,0.0004,0.002945,0.002945,0.174133,0.0,0.613193,0.042612,0.010218,0.180054,35.4052,49.2907,26.5,0.10848,0.1,0.0433599999999999,0.04,-57.8227,12.092202327883248,12.092202327883248,0.0,0.0,1.0,20.0,0.0,0.036431611904351825,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.513892706706502,5.0,0.0,17.5,0.1927257565859081,0.9292536842707244,0.376335881712932,3.0,1.228409,1315.0,0.0288732647931685
41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,251.0,22848.0,48.0,0.0357690997295766,0.005,0.001,0.0025012,0.005,0.001,0.0025012,0.002,0.0004,0.002667,0.002667,0.095252,0.0,0.213598,0.033867,0.007403,0.214067,34.5174,63.0115,26.5,0.10064,0.1,0.04024,0.04,-56.4925,7.277118281731558,7.277118281731558,0.0,0.0,1.0,20.0,0.0,0.02691660299723584,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63849921257073,5.0,0.0,20.0,0.251690253962964,1.0956357230866915,0.6935570852055487,3.0,0.334678,229.0,0.0184300069927643
42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,180.0,124678.0,78.0,0.0277182922785043,0.005,0.001,0.0205634,0.005,0.001,0.0205634,0.002,0.0004,0.006022,0.006022,0.107439,0.0,0.7163,0.039062,0.006143,0.181688,40.9857,62.7941,26.5,0.07136,0.1,0.02856,0.04,-56.2396,10.884808906248004,10.884808906248004,0.0,0.0,1.0,20.0,0.0,0.09666978827520749,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.338735047163652,5.0,0.0,15.5,0.1963284117764628,0.7335809276288251,0.7181443123102257,1.0,0.297461,1247.0,0.0234841943090343
43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,204.0,85041.0,41.0,0.0231058880954742,0.005,0.001,0.0060788,0.005,0.001,0.0060788,0.002,0.0004,0.005904,0.005904,0.097202,0.0,0.790571,0.029749,0.009284,0.232551,30.2355,65.4053,26.5,0.07344,0.1,0.0293599999999999,0.04,-57.9266,7.509322504129232,7.509322504129232,0.0,0.0,1.0,20.0,0.0,0.04530081898727342,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.749048072746796,5.0,0.0,19.5,0.12085780811689,1.2904294823175235,-0.1056412275856198,1.0,0.222095,851.0,0.1144499512073995
44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,73.0,39589.0,89.0,0.016347447088429,0.005,0.001,0.0136058,0.005,0.001,0.0136058,0.002,0.0004,0.001312,0.001312,0.119861,0.0,0.640606,0.043145,0.008728,0.179124,39.4158,61.6277,26.5,0.8708,0.1,0.34832,0.04,-56.4306,13.291262071198144,13.291262071198144,0.0,0.0,1.0,20.0,0.0,0.03308501009505771,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.630843973289103,5.0,0.0,16.5,0.0348615106904905,3.1660549597670338,-1.12966557560905,0.0,0.0,396.0,0.069549981209136
45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,206.0,58260.0,60.0,0.0346882745525985,0.005,0.001,0.0091338,0.005,0.001,0.0091338,0.002,0.0004,0.006814,0.006814,0.12362,0.0,0.921642,0.041992,0.007785,0.293393,36.3046,57.8571,26.5,0.09824,0.1,0.03928,0.04,-59.0385,8.20997876165,8.20997876165,0.0,0.0,1.0,20.0,0.0,0.08629470831375605,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.736929176405555,5.0,0.0,19.5,0.2025370985146373,1.177929826263289,0.6463026873665224,3.0,0.398584,583.0,0.1074759191452586
