,Sim,Wsnr,Heterogeneity,gKCC2,gGABA_tonic,current_noise,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,STD FR,STD CV
71,72,0.1,0.1,0.006,0.006,0.01,9.100013242721824e-28,0.0012856126523809364,1.1126163119364928e-19,0.006704352092748505,1.2599890530925013,0.34236453201970446,0.8011767925561029,0.88,7.913793103448276,0.22408091049892234,3.367531665836597,0.19429167982533535
72,73,0.1,0.1,0.007,0.001,0.001,2.114569535928147e-22,0.00016280878153719967,1.1478832037294156e-17,0.8602544555045626,1.0505952380952381,0.16865079365079366,0.6096230158730159,0.99,9.5,0.18195174604270267,3.868273732127377,0.13911025745666278
73,74,0.1,0.1,0.007,0.001,0.01,3.2367723928762144e-20,0.002896770146505393,1.2270051292648834e-16,0.1687597143994615,1.0301914580265097,0.1802487317951236,0.6052200949108166,0.98,10.02061855670103,0.19840500737661457,4.115546039715323,0.14410979590245587
74,75,0.1,0.1,0.007,0.002,0.001,6.814051735573848e-25,0.0007703763623033762,1.3685136983543904e-19,0.6357739021996585,1.1147111765668465,0.07715594828996898,0.5959335624284078,0.98,8.706185567010309,0.18614358456848312,3.8807963481045733,0.1488482110759097
75,76,0.1,0.1,0.007,0.002,0.01,7.605289535082771e-29,0.004481334385970947,7.012199011767737e-20,0.02403343826957859,1.0882936507936507,0.33531746031746035,0.7118055555555556,0.99,8.572916666666666,0.2095618247254046,3.1349667451275387,0.1328244365097061
76,77,0.1,0.1,0.007,0.003,0.001,2.0102375622466347e-29,5.367623250051803e-06,7.0277815213047e-21,0.10802010054844137,1.1924603174603174,0.1557539682539682,0.6741071428571428,0.98,8.098958333333334,0.15789282108873262,3.5704369127970725,0.13842111725373882
77,78,0.1,0.1,0.007,0.003,0.01,7.378708840490294e-36,0.014833283280420143,2.0619100499988454e-21,0.46784024018342474,1.3681849551414769,0.12422360248447198,0.7462042788129745,0.95,7.6521739130434785,0.18947081868556748,2.1590798292061106,0.13815127398029164
78,79,0.1,0.1,0.007,0.004,0.001,1.7324493513454616e-32,0.019399521641133597,3.6198198625277423e-22,0.5979949056695517,1.310368118878757,0.12006079027355618,0.7152144545761566,0.97,7.452127659574468,0.18661403263186746,2.78967430125943,0.13336792154345758
79,80,0.1,0.1,0.007,0.004,0.01,7.095116207015969e-35,1.333783825552384e-05,1.061145117118109e-22,0.13747775753430483,1.4192147034252303,0.12965747702589803,0.7744360902255641,0.97,7.315789473684211,0.16009794969483135,2.7155038609504065,0.12807960454921075
80,81,0.1,0.1,0.007,0.005,0.001,1.3650286669666916e-30,0.004045680090012407,1.0806184918777718e-21,0.05959582754061184,1.3350041771094403,0.20225563909774436,0.7686299081035923,0.97,7.71578947368421,0.20735876497651132,3.061348715138259,0.16629534646329774
81,82,0.1,0.1,0.007,0.005,0.01,5.60209264579272e-35,0.005001717052553504,2.549292934542415e-23,0.9230092099187477,1.3981620718462824,0.10860484544695068,0.7533834586466165,0.97,7.068421052631579,0.1782559964816609,2.5511715846437357,0.1420620696073546
82,83,0.1,0.1,0.007,0.006,0.001,2.3100807393289263e-43,1.965567451274057e-05,8.628239787159706e-24,0.00022585415505314678,1.500256016385049,0.42319508448540705,0.961725550435228,0.96,6.741935483870968,0.24051454394510288,1.8383795213869398,0.19973584129241334
83,84,0.1,0.1,0.007,0.006,0.01,1.684386201887736e-32,0.0004901681211482401,6.207329242670181e-22,0.009848500555998396,1.3717238833517904,0.37043189368770757,0.871077888519749,0.87,6.854651162790698,0.22148459555521763,2.5709312843812606,0.18982521059537052
84,85,0.1,0.2,0.001,0.001,0.001,3.9630331670936175e-08,1.5486505306507368e-05,3.633799065805455e-10,0.6969086730514512,0.701058201058201,0.3880070546737213,0.5445326278659612,0.83,12.17283950617284,0.17319573934926027,7.248737861116236,0.18981858413748157
85,86,0.1,0.2,0.001,0.001,0.01,2.5220116644075357e-11,0.00010069903365884831,2.775625818681997e-12,0.7798657398815034,0.7266009852216749,0.3130815544608647,0.5198412698412698,0.9,11.28735632183908,0.17527512026726882,7.016660052925615,0.17407449192962074
86,87,0.1,0.2,0.001,0.002,0.001,3.667975261777321e-10,2.5350841487437856e-09,1.9950682443322746e-10,0.03647857335948173,0.7266009852216749,0.428024083196497,0.5773125342090859,0.89,12.39655172413793,0.14561526857285878,6.9535147529676244,0.1913084020865045
87,88,0.1,0.2,0.001,0.002,0.01,2.7055682709235265e-11,3.708533957963458e-05,2.867988881289992e-11,0.7496180508775621,0.7519172462992688,0.477617264134118,0.6147672552166934,0.92,11.859550561797754,0.18493145858599555,8.060163088392718,0.2053312961253
88,89,0.1,0.2,0.001,0.003,0.001,2.6750481533599317e-10,2.262508866808918e-08,6.659087973145982e-11,0.46931760575927206,0.8245149911816578,0.5361552028218693,0.6803350970017636,0.83,11.783950617283951,0.16667628173261978,6.540915041323214,0.21991127505508734
89,90,0.1,0.2,0.001,0.003,0.01,5.093343684958522e-10,9.724398204531318e-09,7.134776880400916e-11,0.9163434279629834,0.767631103074141,0.5797669278681936,0.6736990154711673,0.83,11.664556962025317,0.17752867714096981,6.593879747172604,0.2512995688909985
90,91,0.1,0.2,0.001,0.004,0.001,6.8683415684945446e-09,6.715772189565065e-16,9.50928430290899e-09,0.06042684147481392,0.7658730158730158,0.49603174603174605,0.6309523809523809,0.76,12.590277777777779,0.14372765908878715,7.017995909766989,0.23600934026797676
91,92,0.1,0.2,0.001,0.004,0.01,1.0501341654851927e-08,5.189522220914666e-14,1.2631506056150747e-08,0.016207544688744312,0.7543554006968641,0.561749903213318,0.6580526519550911,0.87,13.195121951219512,0.13841220684283592,7.871977196684954,0.20493423629778823
92,93,0.1,0.2,0.001,0.005,0.001,4.976067654010717e-10,6.897400440152591e-23,1.2411985656360464e-09,1.6560067616414544e-06,0.7077922077922079,0.6349206349206348,0.6713564213564214,0.8,12.214285714285714,0.10035751003961717,7.783777907659617,0.18250858548460744
93,94,0.1,0.2,0.001,0.005,0.01,1.5197679193303583e-11,2.3614136191408655e-14,2.3022818428875955e-10,0.23455395360179693,0.7297410192147032,0.6010860484544694,0.6654135338345863,0.79,11.625,0.20753802577532954,8.03246906066412,0.3239909650404394
94,95,0.1,0.2,0.001,0.006,0.001,2.9930329591695644e-07,2.488361940367888e-18,1.7235609206572397e-08,1.3378244184993238e-07,0.6535181236673775,0.5453683961146647,0.5994432598910211,0.72,12.298507462686567,0.09486833497339757,8.368856490964713,0.15544083639892176
95,96,0.1,0.2,0.001,0.006,0.01,1.2125800971671034e-08,1.9701429063527914e-18,5.190447033664432e-08,3.8057308947232756e-08,0.6904761904761906,0.6428571428571427,0.6666666666666666,0.66,12.484126984126984,0.09218198549126695,7.276276004372809,0.14207681533650734
96,97,0.1,0.2,0.002,0.001,0.001,2.073292992156663e-13,0.006181879005277883,3.1130405867072304e-15,0.03860720894616267,0.9012158054711247,0.26899696048632216,0.5851063829787234,0.95,10.303191489361701,0.21074938191405734,5.879199759694822,0.1723621218373004
97,98,0.1,0.2,0.002,0.001,0.01,3.757732538048143e-18,0.0003477942474492308,7.505706827854394e-16,1.9184276099862405e-06,0.9030075187969925,0.37067669172932327,0.6368421052631579,0.96,10.031578947368422,0.2543174687961931,6.111598346507276,0.18205671003726828
98,99,0.1,0.2,0.002,0.002,0.001,7.337922194155634e-11,1.1699142075011932e-06,2.8861544905526312e-12,0.0006809387536134555,0.8571428571428571,0.25396825396825395,0.5555555555555556,0.88,11.130952380952381,0.13245466254686575,6.80210009920739,0.1316903111658784
99,100,0.1,0.2,0.002,0.002,0.01,1.6341844718425425e-12,0.0010727257127440147,1.4283991510802027e-13,0.05391007884186547,0.8415435139573071,0.29638752052545153,0.5689655172413793,0.89,10.597701149425287,0.21346089946095018,6.765293054819199,0.21898344130661676
100,101,0.1,0.2,0.002,0.003,0.001,4.468247013504e-14,1.0054476031099995e-05,3.9193798562178946e-14,0.4616902348667321,0.8867487069734261,0.4102015337970394,0.6484751203852328,0.94,10.393258426966293,0.16804403570532314,7.009412576211545,0.18187922703655426
101,102,0.1,0.2,0.002,0.003,0.01,2.497450283867804e-09,2.8080278790489104e-07,2.439934588627097e-10,1.3857136941844017e-05,0.7380952380952381,0.4682539682539682,0.6031746031746031,0.87,12.172619047619047,0.12080446298410116,7.836306697954024,0.12042493416147483
102,103,0.1,0.2,0.002,0.004,0.001,8.865038271903513e-14,5.578352672095885e-08,3.426440842762201e-12,0.16692695457556977,0.8257936507936507,0.3849206349206349,0.6053571428571428,0.83,10.84375,0.2069874377366241,7.267476242651227,0.2581399385091652
103,104,0.1,0.2,0.002,0.004,0.01,2.235434854223384e-11,0.00010321296036767563,6.654215715140514e-13,0.015248387755682963,0.8156146179401993,0.518641565153193,0.6671280915466962,0.88,10.88953488372093,0.23046322815696388,6.8685333912311695,0.28248450271589093
104,105,0.1,0.2,0.002,0.005,0.001,4.582116271996243e-13,1.0902703721135848e-07,2.4986237819892543e-10,0.0746500743087619,0.8011583011583011,0.5538395538395539,0.6774989274989275,0.78,11.614864864864865,0.14940366379977332,7.110397457861658,0.19310009575981565
