,Sim,vivo_tonic_scale,vivo_noise_scale,current_noise_scale,gstn_mu,gstn_pct,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
0,1,1.1,2,8,0.01,0.1,5.6287174026907344e-05,3.273510526072679e-25,9.413934940369113e-05,4.3525799765894535e-29,0.38710464265387434,1.0728514513375071,0.7299780469956907,0.98,17.994897959183675,0.413688815679481,-0.26688534527591257,-0.40977634354010134,13.832543500147226,0.1627974374906767
1,2,1.1,2,8,0.01,0.2,0.00016037872374687577,5.9998409237375425e-28,1.484033205690625e-05,1.1146870370947442e-25,0.47112559861563835,1.1161414946275503,0.7936335466215944,1.0,17.41919191919192,0.4384689642857108,-0.2903396897066755,-0.3744216775118071,12.126793748544282,0.13884146240629366
2,3,1.1,2,8,0.01,0.30000000000000004,0.00023435983146686623,2.4229005639813353e-25,0.0001362748399745736,2.4542864014356126e-27,0.3598937583001328,1.0252324037184593,0.692563081009296,0.97,18.140625,0.41799746122026155,-0.2609484052913488,-0.40362905497661394,13.026556034093394,0.1835034947924046
3,4,1.1,2,8,0.01,0.4,4.56323244551053e-05,1.5055201550812672e-26,2.8602270691089005e-05,7.862961756925456e-27,0.5013078997142743,1.1363435148295706,0.8188257072719225,1.0,17.606060606060606,0.4276245701580773,-0.2827266333190696,-0.38989373697174473,13.026250250639533,0.16698172208668075
4,5,1.1,2,8,0.01,0.5,0.00011733060962321335,2.247795266204087e-27,0.000705438628012494,2.062985395699104e-30,0.5328685258964143,1.171065737051793,0.8519671314741036,0.96,18.817708333333332,0.4023394185546098,-0.23336393577882378,-0.42596890765052914,13.901461215100035,0.16819837390895928
5,6,1.1,2,8,0.03,0.1,0.08126207835547485,1.520733646246645e-21,0.46736321513980605,1.4794072742084229e-27,0.2965914121292607,0.9949293734154292,0.645760392772345,0.99,25.767676767676768,0.4136000440155292,0.04977874836664002,-0.4099029970393061,15.065063123857925,0.22105344938335
6,7,1.1,2,8,0.03,0.2,0.5272342078367157,1.04158623926449e-14,0.8309952190318499,4.685332794140682e-19,0.35147410358565734,0.8185657370517927,0.585019920318725,1.0,24.19,0.4747620736841764,-0.01449602337282898,-0.32264108562348753,14.693498562289378,0.19130503570765522
7,8,1.1,2,8,0.03,0.30000000000000004,0.0789545321092189,3.228543993275827e-10,0.5163539175130198,3.6367430016828086e-17,0.3844214976827384,0.6442800227660785,0.5143507602244085,0.98,23.428571428571427,0.4800241862244399,-0.04551672965891438,-0.3151334538323875,16.839882204251346,0.23321542547594434
8,9,1.1,2,8,0.03,0.4,0.01146350810975975,2.2142407319946186e-17,0.41727114220566863,2.662399115343197e-23,0.42912884544297036,0.9255760463301431,0.6773524458865567,0.97,23.144329896907216,0.4425435615639594,-0.057096769335544306,-0.3686083134250373,16.781180973347503,0.19533034376966743
9,10,1.1,2,8,0.03,0.5,0.02968705917601805,3.1178949785136984e-19,0.9170757891656607,5.4856110707926104e-27,0.5427456839309428,0.9835657370517928,0.7631557104913678,0.96,24.729166666666668,0.41459312193642345,0.007469701888221714,-0.40848613958654395,18.104430377826183,0.2143466227854014
10,11,1.1,2,8,0.049999999999999996,0.1,0.12804743666851745,9.484899951602114e-11,0.2652370060163086,5.41611613708998e-12,0.3416537929913002,0.6850963492966908,0.5133750711439955,0.99,26.48469387755102,0.5237024613164296,0.07899012550970727,-0.2528161992788359,17.74816088224939,0.21910202719535252
11,12,1.1,2,8,0.049999999999999996,0.2,0.19676937938029262,5.492286954111285e-16,0.19658761566515626,1.5989197511640142e-16,0.2144223107569722,0.6985657370517927,0.45649402390438243,1.0,26.745,0.4931178895698942,0.08959503327381929,-0.29645222975224955,16.563588832134176,0.18878515677026486
12,13,1.1,2,8,0.049999999999999996,0.30000000000000004,0.15845874867923207,2.2651539749724714e-07,0.25563966313140274,3.011262844280842e-12,0.37317397078353254,0.5302829087689644,0.4517284397762485,1.0,26.47979797979798,0.522478987249471,0.07879066595184113,-0.25456177061171836,16.125129267654934,0.2173334818386479
13,14,1.1,2,8,0.049999999999999996,0.4,0.026383572029174306,9.782559894828482e-14,0.0369059189135599,2.2713632198391294e-19,0.422390438247012,0.8185657370517927,0.6204780876494024,1.0,28.225,0.4669951242828242,0.14989043986365863,-0.33372245186172034,19.35889653363538,0.22700082487259635
