,Sim,kcc2_S_change,kcc2_D_change,trpc3_change,tonic_CL_S_change,tonic_CL_D_change,stn_change,noise_change,KS_FR_pval,KS_FR_statistic,KS_CV_pval,KS_CV_statistic,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
0,1,0.33,0.33,0.33,0.33,0.33,1.0,1.0,0.2646984894241554,0.10962593516209476,0.5067490566556944,0.08940149625935162,0.24778139288854018,0.05799918823748493,0.3478304239401496,0.27157107231920197,0.3097007481296758,1.0,21.38,0.7394657837101788,-0.0924278833430371,-0.06261407697406257,12.494422755773874,0.2516628237641807
1,2,0.33,0.33,0.33,0.33,0.33,1.0,1.5,0.15226301969773606,0.12406483790523691,0.25114754725128347,0.11129675810473816,0.7250120722952693,0.4722702423460541,0.3478304239401496,0.28743142144638406,0.31763092269326687,1.0,22.895,0.8079470667229027,-0.02811676282220926,0.02419641798190445,12.503658464625463,0.2732208858964038
2,3,0.33,0.33,0.33,0.33,0.33,1.0,2.0,0.05412218743030179,0.14821532028514572,0.005729349980839029,0.18922390992216429,0.6543626888742976,0.0021894142228581557,0.40363737121841864,0.35371168039497203,0.37867452580669536,1.0,24.40909090909091,0.8704527323528407,0.03615576716725299,0.10343190441224637,13.15071216652106,0.2678869338696219
3,4,0.33,0.33,0.33,0.33,0.33,1.25,1.0,0.22187778708174882,0.1143640897755611,0.17694926669280192,0.12084788029925186,0.9947938063584589,0.02419423873932607,0.36319201995012473,0.24159600997506234,0.30239401496259355,1.0,23.545,0.7301256910956694,-0.0005245328957813908,-0.07445407218340294,13.144218310725062,0.25092861482041917
4,5,0.33,0.33,0.33,0.33,0.33,1.25,1.5,0.04532826107887776,0.1518426156830147,0.6602566750714154,0.07959898234212448,0.4566547889835012,0.8659883994477837,0.42383939142043886,0.165646489836016,0.2947429406282274,1.0,24.974747474747474,0.7844245600478021,0.06016765335031361,-0.005621955115619333,13.230927522968644,0.25865089105029243
5,6,0.33,0.33,0.33,0.33,0.33,1.25,2.0,0.002996354951897158,0.19860349127182045,0.011061605373357881,0.17800498753117208,0.12947164062605715,0.034183649297030445,0.4719201995012469,0.3674314214463839,0.4196758104738154,1.0,26.445,0.845793371161999,0.12257926216058863,0.0721723944250111,13.632111905350543,0.28368067528124724
6,7,0.33,0.33,0.33,0.33,0.33,1.5,1.0,0.025877009174058194,0.16164588528678303,0.07800662154405756,0.1394014962593516,0.27771892343233384,0.0007138436116639516,0.34718204488778054,0.263291770573566,0.30523690773067325,1.0,25.63,0.700522455566675,0.08798285079129838,-0.1119806986645771,13.962202548308774,0.24935851871023484
7,8,0.33,0.33,0.33,0.33,0.33,1.5,1.5,0.0011940276053714963,0.21164588528678305,0.28885722391171914,0.10768079800498753,0.05811354889871449,0.16533892703411512,0.5071820448877806,0.22329177057356606,0.36523690773067335,1.0,27.18,0.7522807096996421,0.1537797067697031,-0.04636919926400714,13.965944293172587,0.2650854405578606
8,9,0.33,0.33,0.33,0.33,0.33,1.5,2.0,0.0001383822977895962,0.241072319201995,0.36865331958752706,0.10047381546134664,0.011979071188695256,0.6361194117501787,0.49192019950124694,0.2660349127182044,0.37897755610972567,1.0,28.38,0.8015057141619417,0.20471920817233896,0.01603101892098126,14.22464762305204,0.28004070930063996
9,10,0.33,0.33,0.33,0.33,0.66,1.0,1.0,0.17274215693763023,0.12169072268822892,0.38966042554780567,0.09884379959192927,0.29747496351026215,0.023746556353673804,0.36277991888964456,0.13924783999596968,0.2510138794428071,1.0,21.59090909090909,0.729735135691613,-0.08347488006621019,-0.07494916086226963,12.207044587343495,0.25046017256074765
10,11,0.33,0.33,0.33,0.33,0.66,1.0,1.5,0.13810156484611294,0.12648379052369077,0.11870498068684625,0.13069825436408977,0.8514779324949407,0.34588557454504165,0.36319201995012484,0.207431421446384,0.2853117206982544,1.0,23.205,0.8136465062701234,-0.014957391626528373,0.03142132888163024,12.447307941880446,0.26285737189466823
11,12,0.33,0.33,0.33,0.33,0.66,1.0,2.0,0.026135771232598536,0.1615211970074813,0.006112041226811567,0.18790523690773067,0.559223889851773,0.01371460685919952,0.39192019950124696,0.4060349127182044,0.3989775561097257,1.0,24.665,0.8552606032811906,0.047019001746678675,0.08417355839235884,13.294181998152425,0.28509421510835325
12,13,0.33,0.33,0.33,0.33,0.66,1.25,1.0,0.16867927977135802,0.12154613466334165,0.029474649972830846,0.15917705735660848,0.8960179644718567,0.0006029396699676718,0.3631920199501247,0.23157107231920201,0.29738154613466333,1.0,23.805,0.6991698171756042,0.010512359074789637,-0.1136953746031614,13.207742994168232,0.2509864595635422
13,14,0.33,0.33,0.33,0.33,0.66,1.25,1.5,0.022765271393307047,0.1640648379052369,0.5749443636860664,0.08501246882793018,0.32457551537679685,0.2738664469902595,0.42319201995012473,0.27306733167082287,0.3481296758104738,1.0,25.425,0.7601339866697225,0.07928068596834814,-0.036413970173566346,13.21597045244881,0.2609369364623018
14,15,0.33,0.33,0.33,0.33,0.66,1.25,2.0,0.002432449057904701,0.20134663341645886,0.36989158790269483,0.10037406483790523,0.09428609155491358,0.39852921822299436,0.47192019950124686,0.3060349127182044,0.3889775561097256,1.0,26.745,0.8114613199375834,0.13531413751124766,0.028651271155586158,13.636989220498782,0.28141367759983543
15,16,0.33,0.33,0.33,0.33,0.66,1.5,1.0,0.012896110154143839,0.17423940149625936,0.016893556416341837,0.17054862842892768,0.17940795081043787,6.638393206557025e-05,0.3871820448877806,0.3924189526184538,0.3898004987531172,1.0,26.125,0.684846370527783,0.10899539511988572,-0.13185253285531798,14.092795145037766,0.24580860262236065
16,17,0.33,0.33,0.33,0.33,0.66,1.5,1.5,0.0020714272683693344,0.20506813773646693,0.07405094868988332,0.14154008917101185,0.052075700201331974,0.012948715863812119,0.4605153782211139,0.3008640016121313,0.38068968991662255,1.0,27.292929292929294,0.7235407198360299,0.1585735083326785,-0.08280152989989918,14.112107077496178,0.2554780036283279
17,18,0.33,0.33,0.33,0.33,0.66,1.5,2.0,0.00028380556095969513,0.23134663341645886,0.35760995902511866,0.10114713216957606,0.010062160826077183,0.7720937272441888,0.5119201995012468,0.29221945137157096,0.4020698254364089,1.0,28.5,0.7965809872618794,0.2098131583126026,0.009788174731891825,14.27235089254745,0.2774538723654431
18,19,0.33,0.33,0.33,0.33,1.0,1.0,1.0,0.22034320731587298,0.11463840399002494,0.29208621987728006,0.10680798004987531,0.30622915854004157,0.008478337936193715,0.3478304239401496,0.3232917705735662,0.3355610972568579,1.0,21.635,0.7207460011437241,-0.08160323929497687,-0.08634426307119034,12.201609524976613,0.24231311924513635
19,20,0.33,0.33,0.33,0.33,1.0,1.0,1.5,0.0895459203082017,0.13648379052369078,0.6498632911160537,0.0800997506234414,0.8703684712772436,0.73618544864091,0.3478304239401496,0.20159600997506227,0.274713216957606,1.0,23.25,0.797752894219736,-0.013047160323929455,0.011273745950453445,12.538440891913156,0.26725148892306944
20,21,0.33,0.33,0.33,0.33,1.0,1.0,2.0,0.038467707119295556,0.1540648379052369,0.01846946451331513,0.1685286783042394,0.5381536527481037,0.06432880609301429,0.37192019950124694,0.34743142144638395,0.35967581047381547,1.0,24.725,0.838190371833523,0.04956597681681056,0.06253443050526004,13.295934529020515,0.27603495465917405
