,Sim,vivo_tonic_scale,vivo_noise_scale,current_noise_scale,gstn_mu,gstn_pct,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
0,1,1.1,2,8,0.01,0.1,0.00020995188984240066,4.900726755471239e-18,5.159319035095843e-05,8.195971290619398e-24,0.4806081795267908,0.909586145215058,0.6950971623709243,0.98,17.78061224489796,0.4396890088397229,-0.2756153751875689,-0.37268099917964037,13.39872563360964,0.19984572432090067
1,2,1.1,2,8,0.01,0.2,1.4604900946930996e-05,8.520000429422216e-22,2.855475077937674e-05,2.089075976083308e-26,0.47322709163346616,0.9985657370517927,0.7358964143426294,1.0,17.575,0.42790484041720683,-0.28399204674565814,-0.38949386602800484,13.909955966860574,0.18849596898443088
2,3,1.1,2,8,0.01,0.30000000000000004,2.7064773383327924e-07,1.0074130335958462e-24,6.739045435117062e-07,1.4388808859845072e-23,0.5911862753069356,1.1136677778681192,0.8524270265875273,0.99,16.331632653061224,0.44866508001316346,-0.33464700601876846,-0.3598745385071887,11.862508226175299,0.15013978922362467
3,4,1.1,2,8,0.01,0.4,0.0005151127897748672,1.689599187053816e-20,0.0002080514656762004,8.270669881033452e-29,0.5120351925630809,1.0252324037184593,0.76863379814077,0.96,18.296875,0.40578580193617203,-0.25458275848076606,-0.4210518373215012,13.42428189517196,0.2020689204759618
4,5,1.1,2,8,0.01,0.5,0.00012092370777284403,4.967171361033711e-28,0.0006045859731519081,2.3581673099384525e-32,0.49132761881765863,1.1363435148295706,0.8138355668236146,0.99,18.843434343434343,0.39816177147454024,-0.2323158545362733,-0.4319292963328959,13.533095695899593,0.1528505413223698
5,6,1.1,2,8,0.03,0.1,0.2701157794917189,3.868576968899456e-15,0.9553231420320936,9.182292632675463e-20,0.3199726347136706,0.8535152320012876,0.5867439333574791,0.99,24.641414141414142,0.4626971200954222,0.003894651760258068,-0.33985455805076903,16.438136307773192,0.23013052046445226
6,7,1.1,2,8,0.03,0.2,0.5222287688909654,5.5945270609911215e-12,0.794174110771087,2.887599709680062e-12,0.25025670513821,0.6781533659177722,0.4642050355279911,0.99,24.11340206185567,0.5225558077284272,-0.0176166340649613,-0.25445216826748746,12.781370373796415,0.20216137185430563
7,8,1.1,2,8,0.03,0.30000000000000004,0.061077329707525205,1.1610769489670135e-16,0.8573799191006893,2.3361947369054405e-21,0.431808121051149,0.8333132117992677,0.6325606664252084,0.99,24.853535353535353,0.4555144214119532,0.012536499551594535,-0.3501023542674581,16.741989268691835,0.20795934347771408
8,9,1.1,2,8,0.03,0.4,0.04052512961601502,3.295111283979284e-18,0.8160847968199487,3.6695491596586035e-25,0.46410277258313687,0.8891779819497521,0.6766403772664444,0.98,24.95408163265306,0.42203479047707954,0.016632768997876753,-0.3978688624213047,18.51420948158549,0.24737464271327542
9,10,1.1,2,8,0.03,0.5,0.07094061956315362,6.991757620816692e-18,0.7883844547989534,3.1716789901986783e-21,0.29506972111553786,0.9210657370517928,0.6080677290836654,0.96,24.083333333333332,0.4531646174401371,-0.018841638262186867,-0.3534548981111473,16.17509445275531,0.20748465844991698
10,11,1.1,2,8,0.049999999999999996,0.1,0.0004047089074110488,7.809873837057798e-16,0.000638419009420736,1.643010792557387e-23,0.37754138086827943,0.8476609027806301,0.6126011418244548,0.98,30.49484536082474,0.4357792716270821,0.2423642567062182,-0.3782591519021208,17.107075591268227,0.22631133149067295
11,12,1.1,2,8,0.049999999999999996,0.2,0.009190594673696659,5.674059929904282e-15,0.013584244789517986,3.791090814088729e-19,0.3702788844621514,0.7185657370517927,0.5444223107569721,1.0,28.805,0.4724167534883831,0.17351972082454153,-0.32598723231410265,17.541222163806033,0.20285234154184031
12,13,1.1,2,8,0.049999999999999996,0.30000000000000004,4.010583842858916e-05,4.1190619987814675e-13,0.0007691595970605228,1.451233722378998e-20,0.4282461988779576,0.7667290023579152,0.5974876006179364,0.98,30.403061224489797,0.4564648597599399,0.2386249581799934,-0.3487463321181355,17.436716212107076,0.22788741754913322
13,14,1.1,2,8,0.049999999999999996,0.4,0.0030405762734186893,5.12492051081502e-11,0.002456329392777337,2.3510294823432494e-13,0.35360598422635986,0.6850963492966908,0.5193511667615254,0.99,29.755102040816325,0.5115351283714509,0.21222701058998508,-0.2701757397545794,16.43466422702009,0.22326688613822027
14,15,1.1,2,8,0.049999999999999996,0.5,0.00025077175338052496,1.5688726708602265e-20,0.00153655064424686,1.2320061864506421e-29,0.5253272623790552,0.8687698186844457,0.6970485405317505,0.99,30.209183673469386,0.4014192178681247,0.23072635968849478,-0.4272817887178166,19.673472695613235,0.21290624202950284
15,16,1.1,2,20,0.01,0.1,0.00027152537495533414,7.179880414493994e-15,1.2432629643587075e-05,3.945834934242334e-15,0.3054719895926498,0.8075453288885275,0.5565086592405887,0.99,17.397959183673468,0.5049636007913292,-0.2912047143155266,-0.2795515577362568,10.899110426083713,0.1608009922847698
