,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,gTON_STN_MEAN_nS_pF,gTON_STN_SIGMA,gTON_STN_THETA,gTON_CL_S_MEAN_nS_pF,gTON_CL_S_SIGMA,gTON_CL_S_THETA,gTON_CL_D_MEAN_nS_pF,gTON_CL_D_SIGMA,gTON_CL_D_THETA,gKCC2_S_nS_pF,gKCC2_D_nS_pF,gTRPC3_nS_pF,gHCN_nS_pF,gCA_nS_pF,gL_nS_pF,gSK_nS_pF,gNAP_nS_pF,gNAF_nS_pF,gKDR_nS_pF,gSD_nS,soma_noise_intensity,soma_noise_intensity_theta,dend_noise_intensity,dend_noise_intensity_theta,Eleak_mV,CL_in_S,CL_in_D,Iapp,Iapp_dend,gpe_stim,gpe_stim_freqs,gpe_poisson,W_gpe,gpe_start_time,gpe_base_length,gpe_stim_length,gpe_post_length,str_stim,str_stim_freqs,str_poisson,W_str,str_start_time,str_base_length,str_stim_length,str_post_length,tausyn,tauexc,tausyn_dend,pre_exp_fr,pre_exp_cv,pre_exp_fr_zscore,pre_exp_cv_zscore,connections,total_weight,sim,rel_error
0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,26802.0,2.0,0.0212246064561361,0.01,0.001,0.00147543,0.01,0.001,0.00147543,0.004,0.0004,0.0029073,0.004405,0.05015472,0.0,0.770625,0.032538,0.002688,0.036901,49.5213,18.1453,26.5,0.05136,0.1,0.02056,0.04,-58.0617,6.0015556164075265,5.3918209068755205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.5,0.0490699664132461,-0.552204380981023,-0.1208969605402268,2.0,0.123404,269.0,0.1016783237457326
1,1.0,1.0,1.0,1.0,1.0,1.0,221.0,104463.0,63.0,0.0203115624554874,0.01,0.001,0.001299276,0.01,0.001,0.001299276,0.004,0.0004,0.00226776,0.003436,0.05994912,0.0,0.7338,0.042583,0.009785,0.183954,38.1829,51.1943,26.5,0.07432,0.1,0.0297599999999999,0.04,-56.615,6.217285340736137,5.550109229206613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.43617e-314,4.0,0.0705989198123984,-1.0087926415777893,-0.8299131407662823,2.0,0.846957,1045.0,0.0061029615368163
2,2.0,2.0,2.0,2.0,2.0,2.0,108.0,40340.0,40.0,0.0639420663156521,0.01,0.001,0.003790116,0.01,0.001,0.003790116,0.004,0.0004,0.00125532,0.001902,0.0641355,0.0,0.670463,0.05095,0.009722,0.164694,36.7917,51.0825,26.5,0.84984,0.1,0.33992,0.04,-58.5843,10.543993502439275,9.344620248210038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.47676e-314,4.0,0.1255235477773912,-0.9693743240202708,-0.4991599899044349,3.0,0.678953,404.0,0.0031166807798857
3,3.0,3.0,3.0,3.0,3.0,3.0,61.0,89698.0,98.0,0.0352432189006446,0.01,0.001,0.006637752,0.01,0.001,0.006637752,0.004,0.0004,0.0018777,0.002845,0.02912778,0.0,0.809074,0.025437,0.011965,0.163143,41.0137,64.4101,26.5,0.06832,0.1,0.02736,0.04,-61.0014,10.978777306766606,9.80481645997493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,2.5,0.052821874679596,-0.7767360365327276,-0.5980756794776787,2.0,0.5510539999999999,897.0,0.1970366442995458
4,4.0,4.0,4.0,4.0,4.0,4.0,160.0,14010.0,10.0,0.0415028643272865,0.01,0.001,0.002286636,0.01,0.001,0.002286636,0.004,0.0004,0.0049302,0.00747,0.07657188,0.0,0.834204,0.049134,0.010386,0.16971,38.325,35.7532,26.5,0.10824,0.1,0.04328,0.04,-57.6004,5.8528401757209405,5.284029343437428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1e-323,4.5,0.3642236488056772,-0.5378697235056932,1.0770731141627266,2.0,0.197436,141.0,0.0080457733911297
5,5.0,5.0,5.0,5.0,5.0,5.0,210.0,118476.0,76.0,0.0750686322628453,0.01,0.001,0.007757508,0.01,0.001,0.007757508,0.004,0.0004,0.00415932,0.006302,0.03825492,0.0,0.675808,0.043778,0.00805,0.169077,19.2961,52.2104,26.5,0.08496,0.1,0.0339999999999999,0.04,-56.3618,9.15166513270713,7.977251314894168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.40663e-314,4.5,0.3945991857359928,-0.5907453937081006,1.016948331832718,2.0,0.924156,1185.0,0.0424577275202442
6,6.0,6.0,6.0,6.0,6.0,6.0,23.0,66110.0,10.0,0.0275433916245052,0.01,0.001,0.004479024,0.01,0.001,0.004479024,0.004,0.0004,0.00171072,0.002592,0.06620988,0.0,1.19935,0.015899,0.010233,0.210238,29.0481,18.641,26.5,1.0852,0.1,0.43408,0.04,-56.5581,10.13854554149182,8.930131118526825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1e-323,3.5,0.0872836680596964,-0.5687580516638726,-0.2804324911293014,3.0,0.71033,662.0,0.0382155270387607
7,7.0,7.0,7.0,7.0,7.0,7.0,129.0,100410.0,10.0,0.0283042960322107,0.01,0.001,0.005454042,0.01,0.001,0.005454042,0.004,0.0004,0.0002838,0.00043,0.1132065,0.0,0.78543,0.077307,0.009171,0.258877,15.1649,50.7399,26.5,0.12448,0.1,0.04976,0.04,-60.5516,14.055991471519285,13.581397672889032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1e-323,2.0,0.2510161869900741,-0.5500417121811177,0.8460911995902759,2.0,0.815914,1005.0,0.0018187091584212
8,8.0,8.0,8.0,8.0,8.0,8.0,224.0,124005.0,5.0,0.0587155256300587,0.01,0.001,0.003593766,0.01,0.001,0.003593766,0.004,0.0004,0.0038346,0.00581,0.07499844,0.0,0.546054,0.049139,0.009404,0.197402,39.4139,30.6725,26.5,0.11584,0.1,0.04632,0.04,-57.8008,7.275458846185463,6.362773083109667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,4.0,0.391251457272221,-0.5207775555713372,1.3999410852843266,3.0,1.5485,1241.0,0.0353312884318853
9,9.0,9.0,9.0,9.0,9.0,9.0,46.0,22545.0,45.0,0.0973263348283851,0.01,0.001,0.009742326,0.01,0.001,0.009742326,0.004,0.0004,0.00240372,0.003642,0.06295014,0.0,0.790757,0.037773,0.007262,0.178878,27.7186,48.2671,26.5,0.8512799999999999,0.1,0.34048,0.04,-58.4186,11.340203259434697,10.20018096225382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,9.5,0.0677181912060259,0.1400844219791328,-0.2259302658255842,1.0,0.08862,226.0,0.1354856524509147
