,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,gTON_STN_MEAN_nS_pF,gTON_STN_SIGMA,gTON_STN_THETA,gTON_CL_S_MEAN_nS_pF,gTON_CL_S_SIGMA,gTON_CL_S_THETA,gTON_CL_D_MEAN_nS_pF,gTON_CL_D_SIGMA,gTON_CL_D_THETA,gKCC2_S_nS_pF,gKCC2_D_nS_pF,gTRPC3_nS_pF,gHCN_nS_pF,gCA_nS_pF,gL_nS_pF,gSK_nS_pF,gNAP_nS_pF,gNAF_nS_pF,gKDR_nS_pF,gSD_nS,soma_noise_intensity,soma_noise_intensity_theta,dend_noise_intensity,dend_noise_intensity_theta,Eleak_mV,CL_in_S,CL_in_D,Iapp,Iapp_dend,gpe_stim,gpe_stim_freqs,gpe_poisson,W_gpe,gpe_start_time,gpe_base_length,gpe_stim_length,gpe_post_length,str_stim,str_stim_freqs,str_poisson,W_str,str_start_time,str_base_length,str_stim_length,str_post_length,tausyn,tauexc,tausyn_dend,pre_exp_fr,pre_exp_cv,pre_exp_fr_zscore,pre_exp_cv_zscore,connections,total_weight,sim,rel_error
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,26802.0,2.0,0.0176871720467801,0.01,0.001,0.000737715,0.01,0.001,0.000737715,0.004,0.0004,0.0029073,0.00145365,0.02507736,0.0,0.770625,0.032538,0.002688,0.036901,49.5213,18.1453,26.5,0.07704,0.1,0.03084,0.04,-58.0617,5.083968039585713,6.001555616407527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.2916452651430426,5.0,1.0,1.0,1.0,0.0,5.0,23.036434653632018,3.5,0.0490699664132461,-0.552204380981023,-0.1208969605402268,2.0,0.123404,269.0,0.1016783237457326
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,221.0,104463.0,63.0,0.0169263020462395,0.01,0.001,0.000649638,0.01,0.001,0.000649638,0.004,0.0004,0.00226776,0.00113388,0.02997456,0.0,0.7338,0.042583,0.009785,0.183954,38.1829,51.1943,26.5,0.11148,0.1,0.0446399999999998,0.04,-56.615,5.209633471995436,6.217285340736137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.220660542218216,5.0,1.0,1.0,1.0,0.0,5.0,27.99765958744025,4.0,0.0705989198123984,-1.0087926415777893,-0.8299131407662823,2.0,0.846957,1045.0,0.0061029615368163
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,108.0,40340.0,40.0,0.0532850552630435,0.01,0.001,0.001895058,0.01,0.001,0.001895058,0.004,0.0004,0.00125532,0.00062766,0.03206775,0.0,0.670463,0.05095,0.009722,0.164694,36.7917,51.0825,26.5,1.27476,0.1,0.50988,0.04,-58.5843,8.542868671065868,10.543993502439276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.5618481660232949,5.0,1.0,1.0,1.0,0.0,5.0,20.16161048749576,4.0,0.1255235477773912,-0.9693743240202708,-0.4991599899044349,3.0,0.678953,404.0,0.0031166807798857
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,61.0,89698.0,98.0,0.0293693490838705,0.01,0.001,0.003318876,0.01,0.001,0.003318876,0.004,0.0004,0.0018777,0.00093885,0.01456389,0.0,0.809074,0.025437,0.011965,0.163143,41.0137,64.4101,26.5,0.10248,0.1,0.04104,0.04,-61.0014,8.995574423646387,10.978777306766606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.465958102177194,5.0,1.0,1.0,1.0,0.0,5.0,16.30831254830488,2.5,0.052821874679596,-0.7767360365327276,-0.5980756794776787,2.0,0.5510539999999999,897.0,0.1970366442995458
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,160.0,14010.0,10.0,0.0345857202727387,0.01,0.001,0.001143318,0.01,0.001,0.001143318,0.004,0.0004,0.0049302,0.0024651,0.03828594,0.0,0.834204,0.049134,0.010386,0.16971,38.325,35.7532,26.5,0.16236,0.1,0.06492,0.04,-57.6004,4.998875556700442,5.8528401757209405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.330460758488879,5.0,1.0,1.0,1.0,0.0,5.0,26.60230372225621,4.5,0.3642236488056772,-0.5378697235056932,1.0770731141627266,2.0,0.197436,141.0,0.0080457733911297
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,210.0,118476.0,76.0,0.0625571935523711,0.01,0.001,0.003878754,0.01,0.001,0.003878754,0.004,0.0004,0.00415932,0.00207966,0.01912746,0.0,0.675808,0.043778,0.00805,0.169077,19.2961,52.2104,26.5,0.12744,0.1,0.0509999999999998,0.04,-56.3618,7.263352432064739,9.15166513270713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.80449398215748,5.0,1.0,1.0,1.0,0.0,5.0,14.54298696210657,4.5,0.3945991857359928,-0.5907453937081006,1.016948331832718,2.0,0.924156,1185.0,0.0424577275202442
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,23.0,66110.0,10.0,0.0229528263537543,0.01,0.001,0.002239512,0.01,0.001,0.002239512,0.004,0.0004,0.00171072,0.00085536,0.03310494,0.0,1.19935,0.015899,0.010233,0.210238,29.0481,18.641,26.5,1.6278,0.1,0.65112,0.04,-56.5581,8.14481619174241,10.13854554149182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.6068323451211619,5.0,1.0,1.0,1.0,0.0,5.0,24.1067999155512,3.5,0.0872836680596964,-0.5687580516638726,-0.2804324911293014,3.0,0.71033,662.0,0.0382155270387607
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,129.0,100410.0,10.0,0.0235869133601756,0.01,0.001,0.002727021,0.01,0.001,0.002727021,0.004,0.0004,0.0002838,0.0001419,0.05660325,0.0,0.78543,0.077307,0.009171,0.258877,15.1649,50.7399,26.5,0.18672,0.1,0.07464,0.04,-60.5516,13.170097559352744,14.055991471519285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.10007182130641978,5.0,1.0,1.0,1.0,0.0,5.0,11.673140609565465,2.0,0.2510161869900741,-0.5500417121811177,0.8460911995902759,2.0,0.815914,1005.0,0.0018187091584212
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,224.0,124005.0,5.0,0.0489296046917156,0.01,0.001,0.001796883,0.01,0.001,0.001796883,0.004,0.0004,0.0038346,0.0019173,0.03749922,0.0,0.546054,0.049139,0.009404,0.197402,39.4139,30.6725,26.5,0.17376,0.1,0.06948,0.04,-57.8008,5.869349048205852,7.275458846185463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.1051526597820762,5.0,1.0,1.0,1.0,0.0,5.0,27.01042784962968,4.0,0.391251457272221,-0.5207775555713372,1.3999410852843266,3.0,1.5485,1241.0,0.0353312884318853
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,46.0,22545.0,45.0,0.0811052790236542,0.01,0.001,0.004871163,0.01,0.001,0.004871163,0.004,0.0004,0.00240372,0.00120186,0.03147507,0.0,0.790757,0.037773,0.007262,0.178878,27.7186,48.2671,26.5,1.2769199999999998,0.1,0.5107200000000001,0.04,-58.4186,9.393742283541403,11.340203259434697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.3322994789843988,5.0,1.0,1.0,1.0,0.0,5.0,9.214546398338708,9.5,0.0677181912060259,0.1400844219791328,-0.2259302658255842,1.0,0.08862,226.0,0.1354856524509147
