,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,gTON_STN_MEAN_nS_pF,gTON_STN_SIGMA,gTON_STN_THETA,gTON_CL_S_MEAN_nS_pF,gTON_CL_S_SIGMA,gTON_CL_S_THETA,gTON_CL_D_MEAN_nS_pF,gTON_CL_D_SIGMA,gTON_CL_D_THETA,gKCC2_S_nS_pF,gKCC2_D_nS_pF,gTRPC3_nS_pF,gHCN_nS_pF,gCA_nS_pF,gL_nS_pF,gSK_nS_pF,gNAP_nS_pF,gNAF_nS_pF,gKDR_nS_pF,gSD_nS,soma_noise_intensity,soma_noise_intensity_theta,dend_noise_intensity,dend_noise_intensity_theta,Eleak_mV,CL_in_S,CL_in_D,Iapp,Iapp_dend,gpe_stim,gpe_stim_freqs,gpe_poisson,W_gpe,gpe_start_time,gpe_base_length,gpe_stim_length,gpe_post_length,str_stim,str_stim_freqs,str_poisson,W_str,str_start_time,str_base_length,str_stim_length,str_post_length,tausyn,tauexc,tausyn_dend,pre_exp_fr,pre_exp_cv,pre_exp_fr_zscore,pre_exp_cv_zscore,connections,total_weight,sim,rel_error
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,100410.0,10.0,0.0286160598983916,0.01,0.001,0.001721346,0.01,0.001,0.003442692,0.004,0.0004,0.003392,0.003392,0.1132065,0.0,0.78543,0.077307,0.009171,0.258877,15.1649,50.7399,26.5,0.12448,0.1,0.04976,0.04,-60.5516,6.001491096011681,7.473061188468443,0.0,0.0,1.0,20.0,0.0,0.06999542149591195,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.32752158166715,5.0,0.0,2.0,0.2510161869900741,-0.5500417121811177,0.8460911995902759,2.0,0.815914,1005.0,0.0018187091584212
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,223.0,48987.0,87.0,0.0320425939587257,0.01,0.001,0.000427614,0.01,0.001,0.000855228,0.004,0.0004,0.008546,0.008546,0.0611853,0.0,0.430305,0.048689,0.008068,0.169934,31.1721,38.8836,26.5,0.48416,0.1,0.19368,0.04,-57.8398,4.255135089060622,4.465731896030739,0.0,0.0,1.0,20.0,0.0,0.10532666384262532,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.418821652907344,5.0,0.0,4.0,0.3617382682855741,-0.5472940684483523,1.1759202138682998,3.0,0.67847,490.0,0.0782889064418901
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,221.0,104463.0,63.0,0.0188388209412703,0.01,0.001,0.001072302,0.01,0.001,0.002144604,0.004,0.0004,0.00912,0.00912,0.05994912,0.0,0.7338,0.042583,0.009785,0.183954,38.1829,51.1943,26.5,0.07432,0.1,0.0297599999999999,0.04,-56.615,4.538384989327714,5.011607426536761,0.0,0.0,1.0,20.0,0.0,0.0259521149656436,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.303245968740104,5.0,0.0,4.0,0.0705989198123984,-1.0087926415777893,-0.8299131407662823,2.0,0.846957,1045.0,0.0061029615368163
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,150.0,78859.0,59.0,0.0421774770110988,0.01,0.001,0.001693032,0.01,0.001,0.003386064,0.004,0.0004,0.001953,0.001953,0.0623766,0.0,0.533496,0.03053,0.007169,0.115043,12.8204,60.4706,26.5,0.08768,0.1,0.03504,0.04,-55.5179,7.088764760426297,8.939751904806581,0.0,0.0,1.0,20.0,0.0,0.10750245020748346,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.501542682024992,5.0,0.0,3.0,0.3560571026154536,-0.90280820983851,1.1003922868336986,2.0,0.651833,789.0,0.0776641284698416
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,61.0,89698.0,98.0,0.0357822373924056,0.01,0.001,0.003569742,0.01,0.001,0.007139484,0.004,0.0004,0.004207,0.004207,0.02912778,0.0,0.809074,0.025437,0.011965,0.163143,41.0137,64.4101,26.5,0.06832,0.1,0.02736,0.04,-61.0014,7.038700231858578,8.877883094945153,0.0,0.0,1.0,20.0,0.0,0.05582440565629756,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9176021539676,5.0,0.0,2.5,0.052821874679596,-0.7767360365327276,-0.5980756794776787,2.0,0.5510539999999999,897.0,0.1970366442995458
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,197.0,58161.0,61.0,0.0317407750954884,0.01,0.001,0.00075867,0.01,0.001,0.00151734,0.004,0.0004,0.007687,0.007687,0.06737082,0.0,0.656789,0.037469,0.005557,0.235087,18.626,55.3847,26.5,0.90008,0.1,0.36,0.04,-59.3461,4.45998795411185,4.862517226278409,0.0,0.0,1.0,20.0,0.0,0.07296791603421846,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.249378846651984,5.0,0.0,3.5,0.2052738035614249,-0.6658263976270694,0.3880631632932877,2.0,0.401877,582.0,0.0070577079726187
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,188.0,58164.0,64.0,0.0327888571198722,0.01,0.001,0.003078603,0.01,0.001,0.006157206,0.004,0.0004,0.006941,0.006941,0.04929078,0.0,0.636782,0.044076,0.010724,0.15529,50.4488,63.0627,26.5,0.61384,0.1,0.24552,0.04,-60.5303,5.782571977027629,7.143179034301074,0.0,0.0,1.0,20.0,0.0,0.075856657987006,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.983652666022541,5.0,0.0,3.0,0.1471589176676803,-0.7329459941620562,0.0061029771133743,2.0,0.090351,582.0,0.0240742555080489
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,134.0,83141.0,41.0,0.0388934731444841,0.01,0.001,0.001787049,0.01,0.001,0.003574098,0.004,0.0004,0.000387,0.000387,0.07042926,0.0,0.613854,0.048737,0.006151,0.126082,32.6539,48.2419,26.5,1.04728,0.1,0.41888,0.04,-59.5337,11.669010488583911,13.104545831692036,0.0,0.0,1.0,20.0,0.0,0.02783322471858605,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.897688303396749,5.0,0.0,1.5,0.3396957864020186,-1.2288385601237133,1.1028568221413688,6.0,1.429099,832.0,0.0350690184902967
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,183.0,100149.0,49.0,0.0167804172411174,0.01,0.001,0.001055604,0.01,0.001,0.002111208,0.004,0.0004,0.000994,0.000994,0.10560132,0.0,0.499531,0.046096,0.009387,0.165796,30.4724,38.8417,26.5,0.78696,0.1,0.3148,0.04,-58.2929,7.588278547547444,9.53089833643154,0.0,0.0,1.0,20.0,0.0,0.09208247624483755,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.908274229224936,5.0,0.0,4.5,0.4096910142616522,-0.3922539140480572,1.4586193589853491,2.0,0.7943830000000001,1002.0,0.0018205478575616
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,102.0,1853.0,53.0,0.0176561945672951,0.01,0.001,0.000848694,0.01,0.001,0.001697388,0.004,0.0004,0.005904,0.005904,0.05687154,0.0,0.798471,0.036765,0.008085,0.171093,33.7487,47.2315,26.5,0.0881599999999999,0.1,0.03528,0.04,-57.287,4.645987950916347,5.213558420886766,0.0,0.0,1.0,20.0,0.0,0.1066778648310968,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.413784472530155,5.0,0.0,8.5,0.1154294022543187,0.0809781793206134,-0.3109615887683641,2.0,0.227193,19.0,0.0083678699331265
